Threads,Speedup,Eficiencia
1,1.12206,1.12206
2,1.07036,0.535179
3,1.08107,0.360357
4,1.07285,0.268212
5,1.06355,0.21271
6,1.05719,0.176198
7,1.05777,0.15111
8,1.06171,0.132713
9,1.06516,0.118351
10,1.0534,0.10534
11,1.06053,0.096412
12,1.03548,0.0862902
